,Touches_int,Press_int,Tackles,Interceptions,Blocks_int,expected goals,expected non-penalty goals,expected assists,shot-creating actions,goal-creating actions,Attempted Passes,Percentage Completed Passes,Distance Passes,Carries_int,Distance Carries,Successful Dribblings,Attempted Dribblings,0
0,62.0,7.0,1.0,5.0,8.0,0.0,0.0,0.0,1.0,0.0,49.0,77.6,287.0,27.0,59.0,0.0,0.0,False
1,71.0,9.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,63.0,69.8,488.0,43.0,68.0,0.0,0.0,False
2,74.0,8.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,66.0,80.3,376.0,41.0,138.0,4.0,4.0,False
3,103.0,13.0,0.0,1.0,1.0,0.0,0.0,0.1,1.0,0.0,93.0,74.2,562.0,62.0,61.0,3.0,3.0,False
4,37.0,19.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,64.0,196.0,18.0,24.0,2.0,2.0,False
5,71.0,31.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,62.0,62.9,352.0,41.0,144.0,0.0,0.0,False
6,85.0,5.0,5.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,71.0,69.0,326.0,59.0,123.0,3.0,3.0,False
7,66.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,56.0,76.8,638.0,39.0,118.0,2.0,4.0,False
8,81.0,16.0,2.0,1.0,4.0,0.1,0.1,0.1,6.0,0.0,72.0,72.2,321.0,54.0,179.0,1.0,1.0,False
9,53.0,10.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,37.0,70.3,146.0,23.0,59.0,1.0,4.0,False
10,90.0,5.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,83.0,86.7,758.0,49.0,105.0,0.0,1.0,False
11,94.0,14.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,78.0,74.4,463.0,60.0,267.0,3.0,3.0,False
12,70.0,16.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,62.0,77.4,369.0,42.0,129.0,1.0,2.0,False
13,70.0,22.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,48.0,64.6,248.0,32.0,53.0,0.0,0.0,False
14,68.0,14.0,4.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,57.0,63.2,269.0,34.0,157.0,1.0,1.0,False
15,80.0,26.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,74.0,71.6,401.0,39.0,231.0,0.0,0.0,False
16,44.0,20.0,6.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,32.0,75.0,212.0,11.0,10.0,0.0,0.0,False
17,84.0,9.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,67.0,67.2,413.0,44.0,164.0,2.0,2.0,False
18,72.0,18.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,61.0,86.9,320.0,45.0,147.0,1.0,1.0,False
19,73.0,19.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,59.0,83.1,409.0,35.0,83.0,2.0,3.0,False
20,83.0,22.0,6.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,67.0,71.6,413.0,44.0,102.0,2.0,2.0,False
21,69.0,16.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,51.0,68.6,505.0,25.0,25.0,0.0,0.0,False
22,63.0,20.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,48.0,79.2,272.0,35.0,99.0,0.0,1.0,False
23,75.0,21.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,61.0,63.9,297.0,45.0,217.0,2.0,3.0,False
24,75.0,7.0,0.0,1.0,2.0,0.1,0.1,0.1,3.0,1.0,69.0,75.4,284.0,46.0,163.0,0.0,0.0,False
25,69.0,16.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,58.0,67.2,302.0,36.0,127.0,0.0,1.0,False
26,93.0,19.0,1.0,3.0,4.0,0.0,0.0,0.1,2.0,0.0,78.0,76.9,510.0,58.0,185.0,2.0,5.0,False
27,41.0,24.0,3.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,23.0,65.2,70.0,13.0,28.0,1.0,2.0,False
28,68.0,10.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,60.0,70.0,309.0,40.0,52.0,0.0,0.0,False
29,65.0,17.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,56.0,73.2,335.0,43.0,110.0,1.0,2.0,False
30,62.0,6.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,54.0,59.3,190.0,37.0,48.0,4.0,4.0,False
31,93.0,21.0,7.0,1.0,5.0,0.0,0.0,0.0,4.0,0.0,81.0,65.4,524.0,44.0,82.0,0.0,0.0,False
32,49.0,8.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,66.7,285.0,20.0,26.0,0.0,0.0,False
33,95.0,17.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,87.0,89.7,472.0,71.0,193.0,0.0,1.0,False
35,76.0,14.0,2.0,1.0,2.0,0.0,0.0,0.1,5.0,0.0,66.0,86.4,299.0,56.0,199.0,0.0,1.0,False
40,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,80.0,32.0,5.0,12.0,0.0,0.0,False
48,70.0,10.0,2.0,3.0,3.0,0.0,0.0,1.3,2.0,2.0,52.0,65.4,201.0,44.0,184.0,3.0,4.0,False
49,54.0,7.0,1.0,1.0,2.0,0.0,0.0,0.1,1.0,0.0,49.0,93.9,341.0,33.0,154.0,0.0,0.0,False
50,34.0,10.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,95.0,216.0,10.0,15.0,0.0,0.0,False
51,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,100.0,52.0,6.0,12.0,0.0,0.0,False
53,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,2.0,0.0,0.0,0.0,0.0,False
54,87.0,4.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,78.0,92.3,394.0,69.0,139.0,0.0,0.0,False
55,43.0,9.0,1.0,3.0,5.0,0.2,0.2,0.0,0.0,0.0,28.0,82.1,114.0,26.0,66.0,1.0,1.0,False
59,48.0,11.0,1.0,4.0,2.0,0.2,0.2,0.0,0.0,0.0,33.0,87.9,322.0,23.0,58.0,0.0,0.0,False
60,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,92.5,378.0,33.0,112.0,0.0,0.0,False
61,56.0,12.0,1.0,1.0,3.0,0.1,0.1,0.0,1.0,0.0,46.0,95.7,209.0,34.0,146.0,0.0,0.0,False
62,40.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,100.0,315.0,29.0,117.0,0.0,0.0,False
63,88.0,2.0,0.0,1.0,0.0,0.1,0.1,0.1,1.0,0.0,81.0,90.1,395.0,65.0,253.0,0.0,0.0,False
64,85.0,6.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,76.0,85.5,479.0,53.0,279.0,0.0,0.0,False
65,102.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,96.0,97.9,557.0,86.0,105.0,0.0,0.0,False
66,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,97.8,252.0,35.0,115.0,0.0,0.0,False
67,66.0,4.0,1.0,1.0,0.0,0.1,0.1,0.0,0.0,0.0,59.0,98.3,399.0,46.0,134.0,0.0,0.0,False
69,55.0,7.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,45.0,86.7,170.0,36.0,60.0,0.0,0.0,False
70,36.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,29.0,86.2,173.0,18.0,49.0,0.0,0.0,False
71,57.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,50.0,98.0,256.0,42.0,106.0,0.0,0.0,False
72,21.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,88.2,32.0,13.0,23.0,0.0,0.0,True
73,51.0,6.0,3.0,0.0,3.0,0.1,0.1,0.0,2.0,0.0,35.0,94.3,235.0,26.0,79.0,0.0,0.0,False
74,81.0,5.0,1.0,1.0,2.0,0.0,0.0,0.1,1.0,0.0,71.0,91.5,475.0,58.0,341.0,0.0,0.0,False
75,37.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,31.0,83.9,64.0,21.0,31.0,0.0,0.0,False
76,64.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,59.0,94.9,328.0,43.0,91.0,0.0,0.0,False
78,64.0,13.0,1.0,4.0,4.0,0.1,0.1,0.0,0.0,0.0,50.0,82.0,183.0,27.0,52.0,0.0,0.0,False
80,52.0,6.0,1.0,3.0,1.0,0.2,0.2,0.0,1.0,0.0,43.0,88.4,153.0,36.0,114.0,0.0,0.0,False
81,126.0,1.0,0.0,2.0,0.0,0.3,0.3,0.0,2.0,0.0,119.0,98.3,1047.0,89.0,321.0,0.0,0.0,False
