,name,Min,Sh,SoT,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1
0,Kyle Naughton,90,0,0,62,7,1,5,8,0.0,0.0,0.0,1,0,38,49,77.6,287,27,59,0,0
1,Kyle Naughton,90,0,0,71,9,3,1,1,0.0,0.0,0.0,1,0,44,63,69.8,488,43,68,0,0
2,Kyle Naughton,88,0,0,74,8,3,2,1,0.0,0.0,0.0,3,1,53,66,80.3,376,41,138,4,4
3,Kyle Naughton,90,0,0,103,13,0,1,1,0.0,0.0,0.1,1,0,69,93,74.2,562,62,61,3,3
4,Kyle Naughton,90,0,0,37,19,4,2,2,0.0,0.0,0.0,0,0,16,25,64.0,196,18,24,2,2
5,Kyle Naughton,90,0,0,71,31,4,1,2,0.0,0.0,0.0,1,0,39,62,62.9,352,41,144,0,0
6,Kyle Naughton,90,0,0,85,5,5,4,2,0.0,0.0,0.0,1,0,49,71,69.0,326,59,123,3,3
7,Kyle Naughton,90,0,0,66,6,3,0,2,0.0,0.0,0.0,0,0,43,56,76.8,638,39,118,2,4
8,Kyle Naughton,90,2,0,81,16,2,1,4,0.1,0.1,0.1,6,0,52,72,72.2,321,54,179,1,1
9,Kyle Naughton,90,0,0,53,10,2,2,4,0.0,0.0,0.0,0,0,26,37,70.3,146,23,59,1,4
10,Kyle Naughton,90,0,0,90,5,0,4,2,0.0,0.0,0.0,1,0,72,83,86.7,758,49,105,0,1
11,Kyle Naughton,90,2,0,94,14,2,2,4,0.0,0.0,0.0,3,0,58,78,74.4,463,60,267,3,3
12,Kyle Naughton,90,0,0,70,16,1,2,4,0.0,0.0,0.0,0,0,48,62,77.4,369,42,129,1,2
13,Kyle Naughton,90,0,0,70,22,2,2,6,0.0,0.0,0.0,0,0,31,48,64.6,248,32,53,0,0
14,Kyle Naughton,90,0,0,68,14,4,1,4,0.0,0.0,0.0,1,0,36,57,63.2,269,34,157,1,1
15,Kyle Naughton,90,1,0,80,26,2,1,2,0.0,0.0,0.0,0,0,53,74,71.6,401,39,231,0,0
16,Kyle Naughton,90,0,0,44,20,6,3,2,0.0,0.0,0.0,1,0,24,32,75.0,212,11,10,0,0
17,Kyle Naughton,90,1,0,84,9,6,4,3,0.0,0.0,0.0,0,0,45,67,67.2,413,44,164,2,2
18,Kyle Naughton,80,0,0,72,18,3,1,3,0.0,0.0,0.0,1,0,53,61,86.9,320,45,147,1,1
19,Kyle Naughton,90,0,0,73,19,4,4,4,0.0,0.0,0.0,0,0,49,59,83.1,409,35,83,2,3
20,Kyle Naughton,90,0,0,83,22,6,3,5,0.0,0.0,0.0,1,0,48,67,71.6,413,44,102,2,2
21,Kyle Naughton,90,1,0,69,16,2,1,8,0.0,0.0,0.0,0,0,35,51,68.6,505,25,25,0,0
22,Kyle Naughton,90,1,0,63,20,2,3,3,0.0,0.0,0.0,1,0,38,48,79.2,272,35,99,0,1
23,Kyle Naughton,90,0,0,75,21,2,2,4,0.0,0.0,0.0,0,0,39,61,63.9,297,45,217,2,3
24,Kyle Naughton,90,2,0,75,7,0,1,2,0.1,0.1,0.1,3,1,52,69,75.4,284,46,163,0,0
25,Kyle Naughton,90,0,0,69,16,3,2,1,0.0,0.0,0.0,1,0,39,58,67.2,302,36,127,0,1
26,Kyle Naughton,90,0,0,93,19,1,3,4,0.0,0.0,0.1,2,0,60,78,76.9,510,58,185,2,5
27,Kyle Naughton,90,0,0,41,24,3,2,7,0.0,0.0,0.0,0,0,15,23,65.2,70,13,28,1,2
28,Kyle Naughton,75,0,0,68,10,1,1,4,0.0,0.0,0.0,1,0,42,60,70.0,309,40,52,0,0
29,Kyle Naughton,90,0,0,65,17,3,1,1,0.0,0.0,0.0,0,0,41,56,73.2,335,43,110,1,2
30,Kyle Naughton,90,1,0,62,6,2,1,2,0.0,0.0,0.0,1,0,32,54,59.3,190,37,48,4,4
31,Kyle Naughton,90,0,0,93,21,7,1,5,0.0,0.0,0.0,4,0,53,81,65.4,524,44,82,0,0
32,Kyle Naughton,90,0,0,49,8,1,2,1,0.0,0.0,0.0,0,0,26,39,66.7,285,20,26,0,0
33,Kyle Naughton,90,1,1,95,17,3,3,0,0.0,0.0,0.0,1,0,78,87,89.7,472,71,193,0,1
34,Andreas Christensen,72,0,0,54,7,1,1,2,0.0,0.0,0.1,1,0,46,49,93.9,341,33,154,0,0
35,Andreas Christensen,90,0,0,34,10,2,1,5,0.0,0.0,0.0,0,0,19,20,95.0,216,10,15,0,0
36,Andreas Christensen,1,0,0,8,0,0,0,0,0.0,0.0,0.0,0,0,7,7,100.0,52,6,12,0,0
37,Andreas Christensen,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
38,Andreas Christensen,1,0,0,4,2,1,0,1,0.0,0.0,0.0,0,0,1,1,100.0,2,0,0,0,0
39,Andreas Christensen,90,0,0,87,4,0,3,5,0.0,0.0,0.0,0,0,72,78,92.3,394,69,139,0,0
40,Andreas Christensen,90,1,0,43,9,1,3,5,0.2,0.2,0.0,0,0,23,28,82.1,114,26,66,1,1
41,Andreas Christensen,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
42,Andreas Christensen,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
43,Andreas Christensen,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
44,Andreas Christensen,90,1,0,48,11,1,4,2,0.2,0.2,0.0,0,0,29,33,87.9,322,23,58,0,0
45,Andreas Christensen,90,0,0,57,1,0,0,0,0.0,0.0,0.0,0,0,49,53,92.5,378,33,112,0,0
46,Andreas Christensen,90,1,0,56,12,1,1,3,0.1,0.1,0.0,1,0,44,46,95.7,209,34,146,0,0
47,Andreas Christensen,90,0,0,40,2,0,1,0,0.0,0.0,0.0,0,0,39,39,100.0,315,29,117,0,0
48,Andreas Christensen,80,2,0,88,2,0,1,0,0.1,0.1,0.1,1,0,73,81,90.1,395,65,253,0,0
49,Andreas Christensen,90,1,0,85,6,1,2,2,0.0,0.0,0.0,0,0,65,76,85.5,479,53,279,0,0
50,Andreas Christensen,80,0,0,102,3,3,0,1,0.0,0.0,0.0,0,0,94,96,97.9,557,86,105,0,0
51,Andreas Christensen,90,0,0,50,3,0,0,0,0.0,0.0,0.0,0,0,45,46,97.8,252,35,115,0,0
52,Andreas Christensen,90,1,0,66,4,1,1,0,0.1,0.1,0.0,0,0,58,59,98.3,399,46,134,0,0
53,Andreas Christensen,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
54,Andreas Christensen,90,0,0,55,7,3,3,2,0.0,0.0,0.0,1,0,39,45,86.7,170,36,60,0,0
55,Andreas Christensen,57,0,0,36,5,0,0,2,0.0,0.0,0.0,1,0,25,29,86.2,173,18,49,0,0
56,Andreas Christensen,58,0,0,57,3,0,1,2,0.0,0.0,0.0,0,0,49,50,98.0,256,42,106,0,0
57,Andreas Christensen,28,0,0,21,7,1,1,0,0.0,0.0,0.0,0,0,15,17,88.2,32,13,23,0,0
58,Andreas Christensen,74,2,0,51,6,3,0,3,0.1,0.1,0.0,2,0,33,35,94.3,235,26,79,0,0
59,Andreas Christensen,90,0,0,81,5,1,1,2,0.0,0.0,0.1,1,0,65,71,91.5,475,58,341,0,0
60,Andreas Christensen,90,0,0,37,3,0,2,2,0.0,0.0,0.0,0,0,26,31,83.9,64,21,31,0,0
61,Andreas Christensen,90,0,0,64,3,0,1,2,0.0,0.0,0.0,1,1,56,59,94.9,328,43,91,0,0
62,Andreas Christensen,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
63,Andreas Christensen,90,1,0,64,13,1,4,4,0.1,0.1,0.0,0,0,41,50,82.0,183,27,52,0,0
64,Andreas Christensen,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
65,Andreas Christensen,90,1,0,52,6,1,3,1,0.2,0.2,0.0,1,0,38,43,88.4,153,36,114,0,0
66,Andreas Christensen,90,2,1,126,1,0,2,0,0.3,0.3,0.0,2,0,117,119,98.3,1047,89,321,0,0
67,Andreas Christensen,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
68,Andreas Christensen,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
69,Shinji Okazaki,72,2,1,28,19,1,0,1,0.6,0.6,0.0,0,0,8,18,44.4,20,16,53,0,1
70,Shinji Okazaki,76,2,1,21,16,0,0,0,0.8,0.8,0.2,5,0,13,17,76.5,29,11,36,0,1
71,Shinji Okazaki,60,1,1,23,42,5,0,1,0.0,0.0,0.0,0,0,8,10,80.0,24,12,42,1,1
72,Shinji Okazaki,21,0,0,11,7,0,0,0,0.0,0.0,0.0,1,0,5,7,71.4,12,6,30,0,0
73,Shinji Okazaki,74,2,2,24,27,0,1,3,1.1,1.1,0.0,1,0,7,13,53.8,34,13,16,0,0
74,Shinji Okazaki,69,1,0,32,8,0,0,2,0.3,0.3,0.0,1,0,17,26,65.4,40,11,30,0,0
75,Shinji Okazaki,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
76,Shinji Okazaki,68,3,2,35,11,2,0,0,0.6,0.6,0.2,3,1,16,25,64.0,166,22,112,0,1
77,Shinji Okazaki,15,0,0,5,3,1,1,0,0.0,0.0,0.0,0,0,1,2,50.0,3,3,17,0,0
78,Shinji Okazaki,58,1,1,17,15,0,0,3,0.4,0.4,0.0,1,0,6,7,85.7,24,8,22,0,1
79,Shinji Okazaki,7,0,0,4,7,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,3,9,0,1
80,Shinji Okazaki,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
81,Shinji Okazaki,83,1,0,42,41,5,2,4,0.2,0.2,0.0,0,0,22,29,75.9,72,15,18,0,0
82,Shinji Okazaki,2,1,0,6,1,0,0,0,0.1,0.1,0.2,3,0,4,4,100.0,32,6,15,1,2
83,Shinji Okazaki,17,0,0,13,2,0,0,0,0.0,0.0,0.0,0,0,6,8,75.0,12,9,10,1,1
84,Shinji Okazaki,90,4,3,39,30,4,1,1,0.7,0.7,0.1,3,1,17,19,89.5,32,32,93,2,2
85,Shinji Okazaki,13,0,0,5,2,1,0,1,0.0,0.0,0.0,0,0,2,3,66.7,0,3,7,0,0
86,Shinji Okazaki,23,0,0,12,5,0,0,2,0.0,0.0,0.0,0,0,5,6,83.3,0,6,9,0,0
87,Shinji Okazaki,73,1,1,30,14,1,0,2,0.1,0.1,0.0,2,1,15,22,68.2,70,15,32,1,3
88,Shinji Okazaki,17,1,0,9,7,0,0,0,0.1,0.1,0.0,0,0,3,5,60.0,0,7,16,0,1
89,Shinji Okazaki,90,1,0,41,5,1,0,1,0.1,0.1,0.0,1,1,26,28,92.9,64,33,101,3,3
90,Shinji Okazaki,73,2,0,39,29,3,0,3,0.4,0.4,0.0,2,0,19,24,79.2,58,29,69,4,7
91,Shinji Okazaki,65,2,1,33,12,0,1,2,0.6,0.6,0.1,2,0,16,20,80.0,102,23,91,1,1
92,Shinji Okazaki,58,0,0,26,17,0,0,0,0.0,0.0,0.0,2,0,11,19,57.9,9,20,99,1,3
93,Shinji Okazaki,10,0,0,3,5,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,3,0,0,0
94,Shinji Okazaki,60,1,1,29,11,0,0,1,0.2,0.2,0.0,0,0,15,24,62.5,73,14,38,0,1
95,Shinji Okazaki,56,0,0,20,6,0,0,0,0.0,0.0,0.0,0,0,10,15,66.7,36,14,16,0,0
96,Shinji Okazaki,33,0,0,16,0,0,2,1,0.0,0.0,0.9,2,1,7,10,70.0,24,9,9,0,0
97,Shinji Okazaki,45,0,0,10,13,2,0,0,0.0,0.0,0.0,1,0,5,6,83.3,34,7,26,0,0
98,Nathan Redmond,90,4,0,52,13,0,0,2,0.1,0.1,0.5,8,0,38,44,86.4,185,39,153,1,1
99,Nathan Redmond,90,4,1,46,5,2,0,0,0.1,0.1,0.3,5,2,25,36,69.4,121,36,89,2,2
100,Nathan Redmond,90,3,1,42,17,1,1,1,0.3,0.3,0.0,1,0,26,31,83.9,110,29,98,1,2
101,Nathan Redmond,90,2,0,60,13,0,0,2,0.1,0.1,0.0,1,0,30,46,65.2,133,47,198,5,6
102,Nathan Redmond,85,3,2,42,24,2,0,2,0.1,0.1,0.1,6,1,27,31,87.1,181,37,126,3,4
103,Nathan Redmond,90,5,2,58,16,1,1,0,0.2,0.2,0.1,4,0,41,47,87.2,111,51,142,6,7
104,Nathan Redmond,67,2,0,45,4,0,0,1,0.4,0.4,0.0,2,0,34,39,87.2,116,36,105,1,2
105,Nathan Redmond,57,0,0,36,6,0,1,1,0.0,0.0,0.6,5,1,26,33,78.8,156,30,99,1,1
106,Nathan Redmond,21,1,0,18,2,0,0,1,0.0,0.0,0.1,1,0,14,15,93.3,99,16,72,1,1
107,Nathan Redmond,18,0,0,15,8,0,0,2,0.0,0.0,0.0,0,0,4,10,40.0,45,11,58,0,2
108,Nathan Redmond,90,3,1,67,6,1,1,0,0.2,0.2,0.0,5,0,42,57,73.7,141,53,350,3,5
109,Nathan Redmond,90,0,0,44,25,3,1,0,0.0,0.0,0.0,0,0,18,33,54.5,64,29,79,0,1
110,Nathan Redmond,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
111,Nathan Redmond,90,0,0,34,9,1,0,0,0.0,0.0,0.4,7,0,22,29,75.9,188,22,94,1,1
112,Nathan Redmond,45,1,0,21,12,0,1,0,0.0,0.0,0.3,3,1,15,19,78.9,84,18,40,0,1
113,Nathan Redmond,74,1,1,45,18,1,3,2,0.1,0.1,0.0,1,0,24,30,80.0,117,37,282,2,4
114,Nathan Redmond,28,0,0,17,6,1,0,0,0.0,0.0,0.0,1,0,9,13,69.2,72,15,33,1,2
115,Nathan Redmond,90,0,0,57,20,0,1,3,0.0,0.0,0.0,0,0,33,48,68.8,39,43,85,0,1
116,Nathan Redmond,90,1,1,49,23,0,1,1,0.0,0.0,0.3,3,0,28,39,71.8,98,35,298,1,4
117,Nathan Redmond,63,0,0,35,9,4,1,1,0.0,0.0,0.1,1,0,17,26,65.4,67,23,67,1,1
118,Nathan Redmond,5,0,0,5,1,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,4,14,0,1
119,Nathan Redmond,11,0,0,11,1,2,0,0,0.0,0.0,0.0,0,0,5,9,55.6,0,7,12,0,0
120,Nathan Redmond,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
121,Nathan Redmond,2,1,1,4,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,7,3,18,1,1
122,Nathan Redmond,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
123,Nathan Redmond,90,4,1,43,7,2,0,1,0.2,0.2,0.3,6,0,21,31,67.7,128,34,196,4,5
124,Nathan Redmond,90,2,2,59,6,0,1,1,0.1,0.1,0.3,5,0,32,50,64.0,274,45,297,3,5
