,name,Round,Min,Sh,SoT,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1
0,Lionel-Messi-,Supercopa de España,90,,,,,,,,,,,,,,,,,,,,
1,Lionel-Messi-,Supercopa de España,90,,,,,,,,,,,,,,,,,,,,
2,Lionel-Messi-,Matchweek 1,90,10,1,84,14,0,0,2,0.7,0.7,0.2,6,1,48,63,76.2,195,67,263,7,11
3,Lionel-Messi-,Matchweek 2,90,9,5,89,18,0,0,1,1.7,1.0,0.2,8,0,55,67,82.1,284,80,229,6,9
4,Lionel-Messi-,WCQ — CONMEBOL (M),90,,,,,,,,,,,,,,,,,,,,
5,Lionel-Messi-,WCQ — CONMEBOL (M),90,,,,,,,,,,,,,,,,,,,,
6,Lionel-Messi-,Matchweek 3,90,8,3,77,13,1,1,1,1.4,1.4,0.9,8,2,48,61,78.7,324,63,280,8,10
7,Lionel-Messi-,Group stage,90,5,3,,,,0,,,,,,,,,,,,,,
8,Lionel-Messi-,Matchweek 4,90,3,1,65,13,0,0,2,0.1,0.1,0.2,3,1,38,54,70.4,209,61,172,7,8
9,Lionel-Messi-,Matchweek 5,90,7,6,57,12,0,0,0,1.6,0.8,0.0,5,4,32,41,78.0,220,50,306,4,6
10,Lionel-Messi-,Matchweek 6,90,3,2,53,11,0,0,0,0.2,0.2,0.2,7,2,32,42,76.2,179,44,86,3,4
11,Lionel-Messi-,Group stage,90,5,2,,,,0,,,,,,,,,,,,,,
12,Lionel-Messi-,Matchweek 7,90,10,6,65,22,2,0,0,1.7,1.7,0.5,9,2,36,48,75.0,319,64,299,9,11
13,Lionel-Messi-,WCQ — CONMEBOL (M),90,,,,,,,,,,,,,,,,,,,,
14,Lionel-Messi-,WCQ — CONMEBOL (M),90,,,,,,,,,,,,,,,,,,,,
15,Lionel-Messi-,Matchweek 8,90,6,2,71,7,0,1,0,0.5,0.5,0.2,7,0,41,52,78.8,212,72,329,9,15
16,Lionel-Messi-,Group stage,90,7,3,,,,0,,,,,,,,,,,,,,
17,Lionel-Messi-,Matchweek 9,90,3,1,64,11,0,0,1,0.3,0.3,0.2,5,1,38,48,79.2,137,63,285,6,9
18,Lionel-Messi-,,,,,,,,,,,,,,,,,,,,,,
19,Lionel-Messi-,Matchweek 10,90,4,2,65,12,0,0,1,0.6,0.6,0.6,10,1,36,47,76.6,205,62,310,7,10
20,Lionel-Messi-,Group stage,90,7,5,,,,0,,,,,,,,,,,,,,
