,name,Round,Min,Sh,SoT,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1
0,Joshua-Kimmich-,Final,90,0,0,,,,4,,,,,,,,,,,,,,
1,Joshua-Kimmich-,DFL-Supercup,120,,,,,,,,,,,,,,,,,,,,
2,Joshua-Kimmich-,First round,90,1,0,,,,1,,,,,,,,,,,,,,
3,Joshua-Kimmich-,Matchweek 1,90,0,0,62,12,1,1,2,0.0,0.0,0.0,1,1,45,53,84.9,267,40,135,1,1
4,Joshua-Kimmich-,Matchweek 2,90,1,0,104,14,2,0,0,0.0,0.0,0.4,4,0,85,99,85.9,414,81,381,0,1
5,Joshua-Kimmich-,First round,90,,,,,,,,,,,,,,,,,,,,
6,Joshua-Kimmich-,First round,90,,,,,,,,,,,,,,,,,,,,
7,Joshua-Kimmich-,Matchweek 3,90,0,0,97,19,1,1,0,0.0,0.0,0.0,7,0,67,90,74.4,454,74,181,1,2
8,Joshua-Kimmich-,Group stage,90,1,1,,,,1,,,,,,,,,,,,,,
9,Joshua-Kimmich-,Matchweek 4,90,0,0,134,19,1,0,0,0.0,0.0,1.1,13,4,107,128,83.6,819,98,228,2,2
10,Joshua-Kimmich-,Matchweek 5,90,0,0,80,26,1,0,2,0.0,0.0,0.0,2,0,62,72,86.1,494,60,202,0,0
11,Joshua-Kimmich-,Matchweek 6,90,1,0,65,11,2,1,0,0.1,0.1,0.4,3,0,48,61,78.7,310,46,103,0,0
12,Joshua-Kimmich-,Group stage,90,0,0,,,,0,,,,,,,,,,,,,,
13,Joshua-Kimmich-,Matchweek 7,90,0,0,78,11,0,3,0,0.0,0.0,0.3,4,0,56,75,74.7,338,60,81,1,1
14,Joshua-Kimmich-,First round,90,,,,,,,,,,,,,,,,,,,,
15,Joshua-Kimmich-,First round,90,,,,,,,,,,,,,,,,,,,,
16,Joshua-Kimmich-,Matchweek 8,90,1,1,100,11,0,0,1,0.2,0.2,0.2,7,1,83,93,89.2,514,77,105,0,2
17,Joshua-Kimmich-,Group stage,80,2,1,,,,2,,,,,,,,,,,,,,
18,Joshua-Kimmich-,Matchweek 9,,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
19,Joshua-Kimmich-,Second round,120,2,1,,,,1,,,,,,,,,,,,,,
20,Joshua-Kimmich-,Matchweek 10,84,1,0,83,7,1,1,1,0.0,0.0,0.3,4,0,67,80,83.8,246,64,203,1,1
21,Joshua-Kimmich-,Group stage,7,0,0,,,,0,,,,,,,,,,,,,,
22,Joshua-Kimmich-,Matchweek 11,90,0,0,60,19,3,1,1,0.0,0.0,0.2,2,1,48,51,94.1,196,40,93,2,2
23,Joshua-Kimmich-,Friendlies (M),90,,,,,,,,,,,,,,,,,,,,
24,Joshua-Kimmich-,Friendlies (M),"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
25,Joshua-Kimmich-,Matchweek 12,90,1,0,93,10,3,0,2,0.0,0.0,0.2,2,1,68,82,82.9,360,74,201,1,2
26,Joshua-Kimmich-,Group stage,90,0,0,,,,0,,,,,,,,,,,,,,
27,Joshua-Kimmich-,Matchweek 13,90,0,0,111,11,2,1,1,0.0,0.0,0.1,6,0,80,99,80.8,424,78,218,0,0
28,Joshua-Kimmich-,Matchweek 14,90,0,0,109,13,0,2,3,0.0,0.0,0.1,4,1,86,96,89.6,570,82,306,1,2
29,Joshua-Kimmich-,Group stage,90,0,0,,,,0,,,,,,,,,,,,,,
30,Joshua-Kimmich-,Matchweek 15,90,0,0,56,16,1,2,3,0.0,0.0,0.2,2,1,33,47,70.2,249,33,106,0,0
31,Joshua-Kimmich-,Matchweek 16,14,0,0,14,1,0,0,0,0.0,0.0,0.0,0,0,9,14,64.3,3,9,13,0,0
32,Joshua-Kimmich-,Matchweek 17,90,0,0,99,17,3,0,4,0.0,0.0,0.1,2,0,74,81,91.4,648,70,239,0,1
33,Joshua-Kimmich-,Round of 16,90,0,0,,,,2,,,,,,,,,,,,,,
34,Joshua-Kimmich-,Matchweek 18,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
35,Joshua-Kimmich-,Matchweek 19,90,0,0,103,19,1,3,3,0.0,0.0,0.0,1,1,80,92,87.0,425,68,161,3,4
36,Joshua-Kimmich-,Matchweek 20,85,1,0,85,12,0,2,3,0.1,0.1,0.0,2,1,65,77,84.4,377,66,181,1,1
37,Joshua-Kimmich-,Matchweek 21,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
38,Joshua-Kimmich-,Quarter-finals,90,2,1,,,,0,,,,,,,,,,,,,,
39,Joshua-Kimmich-,Matchweek 22,90,0,0,95,9,2,0,3,0.0,0.0,0.0,2,0,71,84,84.5,474,69,153,1,1
40,Joshua-Kimmich-,Matchweek 23,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
41,Joshua-Kimmich-,Round of 16,90,1,0,,,,0,,,,,,,,,,,,,,
42,Joshua-Kimmich-,,,,,,,,,,,,,,,,,,,,,,
43,Joshua-Kimmich-,Matchweek 25,90,0,0,94,18,1,0,0,0.0,0.0,0.2,3,1,70,87,80.5,479,60,274,1,2
44,Joshua-Kimmich-,Matchweek 26,90,1,1,88,10,2,0,3,0.1,0.1,0.3,3,2,61,75,81.3,369,64,191,1,4
45,Joshua-Kimmich-,Round of 16,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
46,Joshua-Kimmich-,Matchweek 27,79,0,0,77,7,1,0,2,0.0,0.0,0.5,1,0,58,70,82.9,323,50,67,1,2
47,Joshua-Kimmich-,Friendlies (M),90,,,,,,,,,,,,,,,,,,,,
48,Joshua-Kimmich-,Friendlies (M),90,,,,,,,,,,,,,,,,,,,,
49,Joshua-Kimmich-,Matchweek 28,45,0,0,49,5,0,1,0,0.0,0.0,0.0,1,1,43,49,87.8,178,41,153,0,0
50,Joshua-Kimmich-,Quarter-finals,90,0,0,,,,1,,,,,,,,,,,,,,
51,Joshua-Kimmich-,Matchweek 29,90,1,1,77,4,0,0,1,0.1,0.1,0.4,3,2,62,71,87.3,346,60,138,1,1
52,Joshua-Kimmich-,Quarter-finals,90,1,0,,,,0,,,,,,,,,,,,,,
53,Joshua-Kimmich-,Matchweek 30,90,0,0,104,2,0,0,0,0.0,0.0,0.2,6,3,88,98,89.8,368,90,284,0,1
54,Joshua-Kimmich-,Semi-finals,90,1,0,,,,0,,,,,,,,,,,,,,
55,Joshua-Kimmich-,Matchweek 31,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
56,Joshua-Kimmich-,Semi-finals,90,1,1,,,,2,,,,,,,,,,,,,,
57,Joshua-Kimmich-,Matchweek 32,45,0,0,51,2,1,1,1,0.0,0.0,0.1,3,1,37,46,80.4,362,39,202,1,2
58,Joshua-Kimmich-,Semi-finals,90,1,1,,,,6,,,,,,,,,,,,,,
59,Joshua-Kimmich-,Matchweek 33,90,0,0,98,7,0,0,0,0.0,0.0,0.3,6,0,77,91,84.6,532,81,281,2,3
60,Joshua-Kimmich-,Matchweek 34,90,0,0,89,3,0,3,0,0.0,0.0,0.0,0,0,66,83,79.5,319,71,210,2,3
61,Joshua-Kimmich-,Final,90,2,0,,,,1,,,,,,,,,,,,,,
62,Joshua-Kimmich-,Friendlies (M),90,,,,,,,,,,,,,,,,,,,,
63,Joshua-Kimmich-,Friendlies (M),80,,,,,,,,,,,,,,,,,,,,
64,Joshua-Kimmich-,Group stage,90,2,0,97,18,1,1,2,0.1,0.1,0.3,6,0,71,89,79.8,390,73,248,0,0
65,Joshua-Kimmich-,Group stage,90,0,0,90,14,2,0,0,0.0,0.0,0.0,4,0,69,85,81.2,259,80,396,1,1
66,Joshua-Kimmich-,Group stage,90,1,0,97,5,2,1,0,0.0,0.0,0.7,7,0,78,91,85.7,287,80,198,0,1
67,Joshua-Kimmich-,,5079,26,9,2639,352,34,46,38,0.8,0.8,6.7,111,22,2014,2409,83.6,11794,1978,5932,25,43
68,Mats-Hummels-,DFL-Supercup,120,,,,,,,,,,,,,,,,,,,,
69,Mats-Hummels-,First round,90,1,1,,,,0,,,,,,,,,,,,,,
70,Mats-Hummels-,Matchweek 1,62,1,1,52,11,0,1,0,0.4,0.4,0.0,2,0,43,51,84.3,516,41,113,0,0
71,Mats-Hummels-,Matchweek 2,90,2,0,67,9,2,2,2,0.3,0.3,0.0,0,0,51,58,87.9,550,48,129,0,0
72,Mats-Hummels-,First round,90,,,,,,,,,,,,,,,,,,,,
73,Mats-Hummels-,First round,90,,,,,,,,,,,,,,,,,,,,
