,Press_int,Tackles,Interceptions,Blocks_int,Completed Passes,Attempted Passes,Distance Passes,Carries_int,Distance Carries,0
0,7.0,1.0,5.0,8.0,38.0,49.0,287.0,27.0,59.0,False
1,9.0,3.0,1.0,1.0,44.0,63.0,488.0,43.0,68.0,False
2,8.0,3.0,2.0,1.0,53.0,66.0,376.0,41.0,138.0,False
3,13.0,0.0,1.0,1.0,69.0,93.0,562.0,62.0,61.0,False
4,19.0,4.0,2.0,2.0,16.0,25.0,196.0,18.0,24.0,False
5,31.0,4.0,1.0,2.0,39.0,62.0,352.0,41.0,144.0,False
6,5.0,5.0,4.0,2.0,49.0,71.0,326.0,59.0,123.0,False
7,6.0,3.0,0.0,2.0,43.0,56.0,638.0,39.0,118.0,False
8,16.0,2.0,1.0,4.0,52.0,72.0,321.0,54.0,179.0,False
9,10.0,2.0,2.0,4.0,26.0,37.0,146.0,23.0,59.0,False
10,5.0,0.0,4.0,2.0,72.0,83.0,758.0,49.0,105.0,False
11,14.0,2.0,2.0,4.0,58.0,78.0,463.0,60.0,267.0,False
12,16.0,1.0,2.0,4.0,48.0,62.0,369.0,42.0,129.0,False
13,22.0,2.0,2.0,6.0,31.0,48.0,248.0,32.0,53.0,False
14,14.0,4.0,1.0,4.0,36.0,57.0,269.0,34.0,157.0,False
15,26.0,2.0,1.0,2.0,53.0,74.0,401.0,39.0,231.0,False
16,20.0,6.0,3.0,2.0,24.0,32.0,212.0,11.0,10.0,False
17,9.0,6.0,4.0,3.0,45.0,67.0,413.0,44.0,164.0,False
18,18.0,3.0,1.0,3.0,53.0,61.0,320.0,45.0,147.0,False
19,19.0,4.0,4.0,4.0,49.0,59.0,409.0,35.0,83.0,False
20,22.0,6.0,3.0,5.0,48.0,67.0,413.0,44.0,102.0,False
21,16.0,2.0,1.0,8.0,35.0,51.0,505.0,25.0,25.0,False
22,20.0,2.0,3.0,3.0,38.0,48.0,272.0,35.0,99.0,False
23,21.0,2.0,2.0,4.0,39.0,61.0,297.0,45.0,217.0,False
24,7.0,0.0,1.0,2.0,52.0,69.0,284.0,46.0,163.0,False
25,16.0,3.0,2.0,1.0,39.0,58.0,302.0,36.0,127.0,False
26,19.0,1.0,3.0,4.0,60.0,78.0,510.0,58.0,185.0,False
27,24.0,3.0,2.0,7.0,15.0,23.0,70.0,13.0,28.0,False
28,10.0,1.0,1.0,4.0,42.0,60.0,309.0,40.0,52.0,False
29,17.0,3.0,1.0,1.0,41.0,56.0,335.0,43.0,110.0,False
30,6.0,2.0,1.0,2.0,32.0,54.0,190.0,37.0,48.0,False
31,21.0,7.0,1.0,5.0,53.0,81.0,524.0,44.0,82.0,False
32,8.0,1.0,2.0,1.0,26.0,39.0,285.0,20.0,26.0,False
33,17.0,3.0,3.0,0.0,78.0,87.0,472.0,71.0,193.0,False
35,14.0,2.0,1.0,2.0,57.0,66.0,299.0,56.0,199.0,False
40,0.0,1.0,0.0,1.0,4.0,5.0,32.0,5.0,12.0,False
48,10.0,2.0,3.0,3.0,34.0,52.0,201.0,44.0,184.0,False
49,7.0,1.0,1.0,2.0,46.0,49.0,341.0,33.0,154.0,False
50,10.0,2.0,1.0,5.0,19.0,20.0,216.0,10.0,15.0,False
51,0.0,0.0,0.0,0.0,7.0,7.0,52.0,6.0,12.0,False
53,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,False
54,4.0,0.0,3.0,5.0,72.0,78.0,394.0,69.0,139.0,False
55,9.0,1.0,3.0,5.0,23.0,28.0,114.0,26.0,66.0,False
59,11.0,1.0,4.0,2.0,29.0,33.0,322.0,23.0,58.0,False
60,1.0,0.0,0.0,0.0,49.0,53.0,378.0,33.0,112.0,False
61,12.0,1.0,1.0,3.0,44.0,46.0,209.0,34.0,146.0,False
62,2.0,0.0,1.0,0.0,39.0,39.0,315.0,29.0,117.0,False
63,2.0,0.0,1.0,0.0,73.0,81.0,395.0,65.0,253.0,False
64,6.0,1.0,2.0,2.0,65.0,76.0,479.0,53.0,279.0,False
65,3.0,3.0,0.0,1.0,94.0,96.0,557.0,86.0,105.0,False
66,3.0,0.0,0.0,0.0,45.0,46.0,252.0,35.0,115.0,False
67,4.0,1.0,1.0,0.0,58.0,59.0,399.0,46.0,134.0,False
69,7.0,3.0,3.0,2.0,39.0,45.0,170.0,36.0,60.0,False
70,5.0,0.0,0.0,2.0,25.0,29.0,173.0,18.0,49.0,False
71,3.0,0.0,1.0,2.0,49.0,50.0,256.0,42.0,106.0,False
72,7.0,1.0,1.0,0.0,15.0,17.0,32.0,13.0,23.0,True
73,6.0,3.0,0.0,3.0,33.0,35.0,235.0,26.0,79.0,False
