,0
Bakary Sako,"['\xa0Groin Strain', '\xa0Groin Strain', '\xa0Groin Strain', '\xa0Groin Strain', 'not in squad', 'not in squad', 'not in squad', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', 'International match', 'International match', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'Called up to national team', 'International match', 'International match', '\xa0Groin Strain']"
Harrison Reed,"['With the U21s', 'not in squad', 'With the U21s', 'not in squad', 'not in squad', 'not in squad', 'With the U21s', 'With the U21s', 'With the U21s', 'not in squad', 'With the U21s', 'With the U21s', 'not in squad', 'With the U21s', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'With the U21s', 'not in squad', 'With the U21s', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'With the U21s', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Jordan Pickford,"['\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury']"
Sadio Mané,"['\xa0Shoulder Injury', 'International match', 'International match', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', 'Called up to national team', 'International match', 'International match', 'Called up to national team', 'International match']"
Jeff Hendrick,"['\xa0Yellow card suspension', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Nordin Amrabat,"['not in squad', 'Called up to national team', 'Called up to national team', 'Called up to national team', 'Called up to national team', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'Called up to national team', 'Called up to national team', 'not in squad']"
Dion Henry,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Sam Hughes,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Terence Kongolo,"['\xa0Knock', '\xa0Knock', '\xa0Knock', '\xa0Knock', '\xa0Knock', '\xa0Thigh Problems', '\xa0Thigh Problems', '\xa0Thigh Problems', '\xa0Thigh Problems']"
Jack Harrison,[]
