,0
Ganso,"['not in squad', '\xa0Adductor problems', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Adductor problems', 'not in squad', 'not in squad', '\xa0Knock']"
Mauro dos Santos,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Gabi,"['\xa0Yellow card suspension', '\xa0Yellow card suspension', '\xa0Hand fracture', 'not in squad', 'not in squad', 'not in squad', '\xa0Yellow card suspension']"
Oriol Busquets,[]
Fede Cartabia,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Ankle Injury', '\xa0Ankle Injury', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Francis Coquelin,"['\xa0Knee Injury', '\xa0Yellow card suspension', '\xa0Knee Injury', '\xa0Hamstring Injury', 'not in squad', '\xa0Hamstring Injury', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Ramiro Guerra,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Roberto Olabe,[]
Asier Illarramendi,"['\xa0Yellow card suspension', '\xa0Yellow card suspension', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Muscular problems']"
David López,"['not in squad', 'not in squad']"
Aymeric Laporte,"['\xa0Groin Injury', '\xa0Muscular problems', '\xa0Yellow card suspension', '\xa0Groin Injury', '\xa0Groin Injury', '\xa0Yellow card suspension']"
Sergio Rico,['not in squad']
Yahia Al-Shehri,"['not in squad', 'not in squad', 'not in squad', 'not in squad']"
Hacen,"['International match', 'not in squad', 'not in squad', 'International match', 'International match', 'not in squad', 'not in squad']"
Jonás Ramalho,"['not in squad', 'not in squad', 'not in squad', 'not in squad']"
Borja Valle,"['not in squad', 'not in squad', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', 'not in squad', 'not in squad', 'not in squad']"
Andrés Guardado,"['\xa0Thigh Problems', '\xa0Thigh Problems', '\xa0Thigh Problems', '\xa0Thigh Problems', '\xa0Thigh Problems', '\xa0Thigh Problems']"
Daniel Carriço,"['\xa0Muscular problems', '\xa0Muscular problems', '\xa0Muscle Injury', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Muscular problems', '\xa0Muscular problems', '\xa0Muscular problems', '\xa0Muscular problems', '\xa0Muscular problems', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', 'not in squad', 'not in squad', '\xa0Achilles tendon problems', '\xa0Achilles tendon problems', '\xa0Achilles tendon problems', '\xa0Muscular problems', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', 'not in squad', 'not in squad']"
