,0
Christian Pulisic,"['\xa0Ill', 'not in squad']"
Simon Lorenz,['not in squad']
Frederik Sörensen,"['\xa0Yellow card suspension', '\xa0Muscle Injury']"
Tony Jantschke,"['\xa0groin strain', '\xa0groin strain', '\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre']"
Dennis Geiger,"['With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'not in squad', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'With the 2nd team', '\xa0Head Injury', '\xa0Head Injury', 'With the 2nd team', 'With the 2nd team', 'International match', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'not in squad']"
Lászlo Bénes,"['With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'With the 2nd team', 'not in squad', 'not in squad', 'With the 2nd team', 'not in squad', 'not in squad', 'With the 2nd team', 'With the 2nd team']"
Jan-Ingwer Callsen-Bracker,"['\xa0Bone edema', '\xa0Bone edema', '\xa0Bone edema', '\xa0Bone edema', '\xa0Bone edema', '\xa0Bone edema', '\xa0Bone edema', '\xa0Bone edema', '\xa0Bone edema', '\xa0Bone edema', '\xa0Bone edema', '\xa0Bone edema', '\xa0Bone edema', '\xa0Bone edema', '\xa0Bone edema', '\xa0Bone edema', '\xa0Bone edema', '\xa0Bone edema', '\xa0Bone edema', '\xa0Bone edema', '\xa0Bone edema', '\xa0Bone edema', '\xa0Fitness', '\xa0Fitness', '\xa0Fitness', '\xa0Fitness', '\xa0Fitness', '\xa0Fitness', '\xa0Fitness', '\xa0Fitness', '\xa0Bone edema', '\xa0Bone edema']"
Jean-Philippe Gbamin,"['\xa0Thigh Problems', '\xa0Thigh Problems', '\xa0Indirect card suspension', '\xa0Indirect card suspension', '\xa0Red card suspension', '\xa0Red card suspension', '\xa0Muscular problems', '\xa0Muscular problems', 'not in squad']"
Jonas Hofmann,"['\xa0Hip Injury', '\xa0Hip Injury', 'not in squad', 'not in squad', '\xa0Hip Injury']"
Bernd Leno,['not in squad']
Slobodan Medojevic,"['\xa0Achilles tendon rupture', 'not in squad', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Achilles tendon rupture', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems']"
Pascal Breier,"['\xa0Back trouble', '\xa0Back trouble', '\xa0Back trouble', '\xa0Back trouble']"
Sergio Córdova,"['International match', 'International match', 'International match', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'International match', 'International match', 'International match', 'International match', 'International match', 'not in squad', 'International match']"
Yuning Zhang,"['Called up to national team', 'not in squad', 'With the U21s', 'not in squad', '\xa0Shoulder Injury', 'With the U21s', 'With the U21s', 'special leave']"
Ridle Baku,"['not in squad', '\xa0Dead Leg', '\xa0Dead Leg']"
Yvon Mvogo,[]
Efkan Bekiroglu,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Niklas Moisander,"['\xa0Knee Problems', '\xa0Thigh Muscle Strain', '\xa0Yellow card suspension']"
Kilian Jakob,"['With U19', 'With U19', 'With U19', 'With U19', 'With U19', 'With the pros', 'With the pros', 'With the pros', 'With U19', 'not in squad', 'not in squad', 'With U19', 'With U19', 'not in squad', 'not in squad', 'With U19', 'With U19', 'not in squad', 'not in squad', 'With U19', 'With U19', 'With U19']"
Dan-Axel Zagadou,[]
Marcel Tisserand,"['Called up to national team', 'International match', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Julian Weigl,"['\xa0Thigh Problems', 'not in squad', '\xa0Rest ', '\xa0Adductor problems', '\xa0Fracture-dislocation of the ankle']"
Dayot Upamecano,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Indirect card suspension', '\xa0Red card suspension', 'not in squad', 'not in squad']"
Jeremy Toljan,"['not in squad', 'not in squad', '\xa0Tendon crack', '\xa0Tendon crack', '\xa0Tendon crack', '\xa0Tendon crack', '\xa0Tendon crack', '\xa0Muscular problems', 'not in squad', 'not in squad', 'International match']"
Willi Orban,"['\xa0Yellow card suspension', '\xa0Indirect card suspension', '\xa0Ankle problems', '\xa0Ankle problems', '\xa0Ankle problems']"
Julian Baumgartlinger,['not in squad']
Rafal Gikiewicz,"['\xa0Patella problems', '\xa0Patella problems', 'not in squad']"
Sven Müller,"['With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'With the 2nd team']"
Sébastien Haller,['not in squad']
Pascal Stenzel,"['\xa0Influenza', '\xa0Acromioclavicular Separation', '\xa0Acromioclavicular Separation', '\xa0Acromioclavicular Separation', '\xa0Acromioclavicular Separation', '\xa0Acromioclavicular Separation', '\xa0Acromioclavicular Separation', 'not in squad', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'not in squad']"
