,0
Gian Marco Ferrari,['\xa0Yellow card suspension']
Luca Antei,"['not in squad', '\xa0Strain', 'not in squad', '\xa0Strain', 'not in squad', '\xa0Unknown Injury', '\xa0Unknown Injury', '\xa0Unknown Injury', '\xa0Unknown Injury', '\xa0Unknown Injury']"
Erick Pulgar,"['\xa0Indirect card suspension', '\xa0Yellow card suspension', '\xa0Red card suspension', '\xa0Red card suspension']"
Mattia Destro,"['not in squad', '\xa0Unknown Injury', '\xa0Unknown Injury', '\xa0Unknown Injury', '\xa0Unknown Injury', '\xa0Distortion of the ankle']"
Andrea Nalini,"['\xa0Unknown Injury', '\xa0Unknown Injury', '\xa0Unknown Injury', '\xa0Stretched Ligament', '\xa0Stretched Ligament', '\xa0Stretched Ligament']"
Vid Belec,"['not in squad', 'not in squad', 'International match', 'not in squad', 'International match', 'International match', 'International match']"
Jakub Jankto,"['\xa0Muscle Fatigue', '\xa0Yellow card suspension']"
Andrea Danzi,"['not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Yellow card suspension']"
Robin Gosens,"['\xa0Ankle Injury', '\xa0Ankle Injury', '\xa0Ankle Injury', 'not in squad', 'not in squad', '\xa0Ankle Injury']"
Nicolás Spolli,"['\xa0Yellow card suspension', '\xa0Muscular problems', '\xa0Muscular problems']"
Tiago Dias,[]
Bartosz Bereszynski,"['not in squad', '\xa0Calf Injury', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Yellow card suspension', 'not in squad', 'not in squad']"
Davide Borsellini,"['not in squad', 'not in squad', 'not in squad', 'not in squad']"
Riccardo Orsolini,['International match']
Eddie Salcedo,[]
Lucas Biglia,"['\xa0Calf Injury', '\xa0Calf Injury', '\xa0Disrupted Calf Muscle', '\xa0Disrupted Calf Muscle', '\xa0Disrupted Calf Muscle', '\xa0Disrupted Calf Muscle', '\xa0Yellow card suspension', '\xa0Tear in the abductor muscle']"
Massimo Gobbi,"['\xa0Bruised Rib', '\xa0Bruised Rib', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Fatigue', '\xa0Muscle Fatigue', '\xa0Yellow card suspension']"
Aniello Viscovo,[]
Anthony Mounier,"['not in squad', 'not in squad', 'not in squad']"
Lucas Leiva,"['\xa0Hamstring Injury', '\xa0Hamstring Injury', 'not in squad', '\xa0Hamstring Injury']"
Bogdan Lobont,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Gabriel Barbosa,[]
Kevin Lasagna,"['not in squad', 'not in squad', 'not in squad']"
David Ivan,"['International match', 'not in squad', 'International match', '\xa0Overstretching', '\xa0Overstretching', '\xa0Overstretching', '\xa0Overstretching', '\xa0Overstretching', '\xa0Overstretching', '\xa0Overstretching', '\xa0Overstretching', '\xa0Overstretching', '\xa0Overstretching', '\xa0Overstretching', '\xa0Overstretching', '\xa0Overstretching', '\xa0Overstretching', '\xa0Overstretching', '\xa0Overstretching', '\xa0Overstretching', 'With U19', 'International match', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Gianluca Mancini,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'With U19']"
Jordan Lukaku,"['\xa0Ankle Injury', '\xa0Ankle Injury', '\xa0Ankle Injury', '\xa0Ankle Injury', '\xa0Ankle Injury', '\xa0Ankle Injury', '\xa0Ankle Injury', '\xa0Ankle Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury']"
Andrea Belotti,"['\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Yellow card suspension']"
Carlos Sánchez,"['\xa0Yellow card suspension', 'not in squad', 'not in squad', 'not in squad']"
Alessandro Confente,"['With the pros', 'With the pros', 'With the pros', 'With the pros', 'With the pros', 'With the pros', 'With the pros', 'With the pros']"
Marek Hamsik,[]
David Milinkovic,"['\xa0Red card suspension', '\xa0Red card suspension', 'not in squad', '\xa0Yellow card suspension']"
Jonathan Silva,"['not in squad', 'not in squad']"
Francesco Magnanelli,"['\xa0Tear in the abductor muscle', '\xa0Tear in the abductor muscle', '\xa0Tear in the abductor muscle', '\xa0Tear in the abductor muscle', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture']"
Federico Melchiorri,"['\xa0Cruciate Ligament Injury', 'not in squad', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Injury']"
Adam Marusic,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Yellow card suspension']"
Giacomo Boccafoglia,"['\xa0Yellow card suspension', 'not in squad', '\xa0Indirect card suspension']"
Manuel Gasparini,[]
Nicolás Burdisso,"['\xa0Indirect card suspension', '\xa0Yellow card suspension']"
Domenico Maietta,"['not in squad', 'not in squad', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Yellow card suspension', '\xa0Hamstring Injury', 'not in squad']"
Marco Parolo,"['\xa0Yellow card suspension', '\xa0Yellow card suspension', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Yellow card suspension']"
Dario Dainelli,"['not in squad', '\xa0Yellow card suspension', '\xa0Muscular problems', 'not in squad', '\xa0Unknown Injury', '\xa0Unknown Injury', 'not in squad', 'not in squad']"
Leonardo Bonucci,"['\xa0Hamstring Injury', 'not in squad', 'not in squad', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', 'not in squad', '\xa0Hamstring Injury']"
Ianis Hagi,"['With U19', 'With U19', 'With U19', 'With U19', 'With U19', 'With U19', 'not in squad', 'not in squad', 'With U19', 'With U19', 'With U19', 'With U19', 'With U19', 'With U19', 'With U19', 'With U19', 'With U19']"
Khouma Babacar,"['not in squad', 'not in squad']"
Michele Rigione,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Riccardo Daga,[]
George Puscas,"['International match', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', 'not in squad']"
Lorenzo Peli,[]
Mattia Pitzalis,"['not in squad', 'not in squad', 'not in squad', 'With the U17s', 'not in squad']"
Antonin Barak,"['not in squad', 'not in squad', '\xa0Yellow card suspension', '\xa0Muscle Injury', '\xa0Muscle Injury', 'not in squad']"
Abukar Mohamed,"['not in squad', 'With the pros', 'With the pros', 'With the pros', 'With the pros', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', 'not in squad']"
Artur Ionita,"['\xa0Calf Injury', '\xa0Calf Injury', '\xa0Calf Injury', '\xa0Calf Injury', '\xa0Calf Injury', '\xa0Calf Injury', '\xa0Calf Injury', '\xa0Calf Injury', '\xa0Calf Injury', '\xa0Calf Injury', '\xa0Calf Injury', '\xa0Calf Injury', '\xa0Calf Injury', '\xa0Calf Injury', '\xa0Calf Injury', '\xa0Calf Injury', '\xa0Calf Injury', '\xa0Calf Injury', '\xa0Yellow card suspension', '\xa0Calf Injury']"
Éder,[]
Federico Ceccherini,['\xa0Yellow card suspension']
Marco Sau,"['\xa0Yellow card suspension', 'not in squad']"
Marco Capuano,"['not in squad', '\xa0Ankle Injury', '\xa0Ankle Injury', '\xa0Indirect card suspension', 'not in squad', 'not in squad', '\xa0Ankle Injury']"
Ali Samake,[]
Nnamdi Oduamadi,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
José Sosa,"['No eligibility', '\xa0Indirect card suspension', '\xa0Indirect card suspension', '\xa0Yellow card suspension', 'not in squad']"
Josip Ilicic,"['not in squad', 'not in squad', 'not in squad', '\xa0Contracture']"
Ervin Zukanovic,"['not in squad', '\xa0Unknown Injury', '\xa0Unknown Injury', '\xa0Unknown Injury', '\xa0Unknown Injury', '\xa0Unknown Injury', 'not in squad', 'not in squad', 'not in squad']"
Blerim Dzemaili,"['\xa0Red card suspension', '\xa0Yellow card suspension', '\xa0Yellow card suspension', '\xa0Contracture', 'International match', 'International match', 'not in squad', 'not in squad', 'not in squad']"
Dusan Basta,"['\xa0Calf Injury', '\xa0Calf Injury', '\xa0Calf Injury', '\xa0Muscular problems', '\xa0Muscular problems']"
Damir Ceter,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Felipe Anderson,"['International match', '\xa0Yellow card suspension']"
Lorenzo Tonelli,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Injury', '\xa0Knee Injury', 'With U19', 'not in squad', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', 'not in squad', '\xa0Knee Problems', '\xa0Knee Problems']"
Danilo Avelar,"['\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'With U19', 'not in squad', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', 'With U19', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'With U19', 'not in squad', '\xa0Cruciate Ligament Rupture', 'not in squad', '\xa0Muscle Injury']"
Cristian Dell'Orco,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Unknown Injury', '\xa0Unknown Injury', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture']"
