0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Jayson Molumby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guido Carrillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad
Costel Pantilimon,,,,,,,,,,,,,,,,,,,,,,,,,not in squad,,,,,,,,,,,,,
Kane Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordon Ibe,,,,,,,,,,,,,,,,,,,,,,,,,,,,not in squad,not in squad,,,,not in squad,,,,,
Sam Baldock, Calf Problems, Calf Problems, Calf Problems, Calf Problems, Calf Problems, Calf Problems, Calf Problems, Calf Problems,With the U21s,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,not in squad,not in squad,,,,not in squad,,,,,not in squad,not in squad,not in squad,not in squad,not in squad,,,,,not in squad,not in squad,not in squad
Robert Huth, Ankle Injury,not in squad,not in squad,With the 2nd team, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury,With the 2nd team,With the 2nd team,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad
Jack Stephens,,,,,,not in squad,not in squad,With the U21s,not in squad,,not in squad,With the U21s,not in squad,not in squad,not in squad,,,,,,,,,,,,,,,,,,, Red card suspension, Red card suspension,,,
Stuart Findlay,With the 2nd team,not in squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dujon Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francis Coquelin,,,,, Hamstring Injury, Hamstring Injury, Hamstring Injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Murphy,,,,,,,not in squad,not in squad,not in squad,not in squad,With the U21s,not in squad,not in squad,not in squad,not in squad,With the U21s,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,,,,,,,,,,,,,,
Danny Rose, Medial Collateral Ligament Knee Injury, Medial Collateral Ligament Knee Injury, Medial Collateral Ligament Knee Injury, Medial Collateral Ligament Knee Injury, Medial Collateral Ligament Knee Injury, Medial Collateral Ligament Knee Injury, Medial Collateral Ligament Knee Injury, Medial Collateral Ligament Knee Injury,,,,not in squad,not in squad,,,,,,,, Knee Problems, Knee Problems, Knee Problems, Knee Problems,,not in squad,,,,,,,,not in squad,not in squad,not in squad,,
Steve Mounié,,,,, Heel Bone Injury, Heel Bone Injury, Heel Bone Injury, Heel Bone Injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Lindelöf,not in squad,,not in squad,not in squad,not in squad,not in squad,not in squad,,,not in squad,not in squad,,,,,,,,,,,,,not in squad,not in squad,,,,,,,,,,not in squad,,,not in squad
Gary Cahill,, Red card suspension, Red card suspension, Red card suspension,,,,,,,,,,,,,,,,,,,,not in squad,,,,,,,,,,,,,,
Timothy Fosu-Mensah,,,,,,,not in squad,,,,,,,,,,,not in squad,,,,,,,,,,,not in squad,,,,,not in squad,not in squad,not in squad,not in squad,not in squad
Daryl Janmaat,, Groin Strain, Groin Strain,,,,,,,,,not in squad,,,,,,,,,,,,,,,,,,,,,,,,,,
Theo Walcott,,,,,,,,,,,,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,,,,,,,,,,,,,,,,,not in squad,
Sead Haksabanovic,With the U21s,not in squad,not in squad,With the U21s,not in squad,not in squad,not in squad,not in squad,With the U21s,With the U21s,,With the U21s,With the U21s,With the U21s,With the U21s,not in squad,not in squad,,not in squad,not in squad,,,not in squad,not in squad,,,With the U21s,not in squad,not in squad,With the U21s,not in squad,not in squad,With the U21s,With the U21s,With the U21s,not in squad,not in squad,not in squad
Michy Batshuayi,,,,,,,,,,,, Ankle Injury, Ankle Injury, Ankle Injury,,,,,,,,,,,not in squad,,,,,,,,,,,,,
Benik Afobe,,,,not in squad,,,,,,, Strain,,,,,,,,,,,,,not in squad,not in squad,,,,,,,,,,,,,
Tom Heaton,,,,, Shoulder Injury, Shoulder Injury, Shoulder Injury, Shoulder Injury, Shoulder Injury, Shoulder Injury, Shoulder Injury, Shoulder Injury, Shoulder Injury, Shoulder Injury, Shoulder Injury, Shoulder Injury, Shoulder Injury, Shoulder Injury, Shoulder Injury, Shoulder Injury, Shoulder Injury, Shoulder Injury, Shoulder Injury, Shoulder Injury, Shoulder Injury, Shoulder Injury, Shoulder Injury, Shoulder Injury, Shoulder Injury, Shoulder Injury,, Shoulder Injury,,,,,,
Danny Ings,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,not in squad,not in squad,not in squad,With the 2nd team,With the 2nd team,With the 2nd team,not in squad,With the 2nd team,not in squad,not in squad,not in squad,,,,not in squad,not in squad,not in squad,,,,,,,not in squad,not in squad,not in squad,,,,,,,,
Renato Sanches,,,,,,,, Thigh Problems,, Thigh Problems, Thigh Problems,,,,,not in squad,not in squad,,,,,, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury,, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury,,,not in squad
Lewis O'Brien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collin Quaner,,,,not in squad,, Calf Injury, Calf Injury, Calf Injury, Calf Injury,,,,,,,,,,,,,,not in squad,,,,,,,,,,,,,,,not in squad
Simon Mignolet,,,not in squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeffrey Schlupp,,,,,,,,,,,,,,,,,,,,,not in squad,, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury,,,,not in squad,not in squad,not in squad,not in squad,,,
Jesús Gámez,not in squad,not in squad,,,not in squad,,,,,,,,, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury,
João Mário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henrikh Mkhitaryan,,,,,,,,,,,,not in squad,,not in squad,not in squad,not in squad,not in squad,not in squad,,,,,not in squad,not in squad,,,,,,,,, Knee Injury, Knee Injury, Knee Injury,,,
Danny Ward,not in squad,not in squad,,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad, Back Injury, Back Injury, Back Injury, Back Injury, Back Injury, Back Injury, Back Injury, Back Injury, Back Injury, Back Injury, Back Injury, Back Injury, Back Injury,not in squad,not in squad,With the 2nd team,not in squad,not in squad,not in squad,not in squad,With the 2nd team,not in squad,not in squad,not in squad,With the 2nd team,not in squad,not in squad,not in squad,not in squad
Mike van der Hoorn,not in squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Macey,not in squad,With the 2nd team,not in squad,not in squad,With the 2nd team,not in squad,not in squad,not in squad,,,,not in squad,With the 2nd team,not in squad,not in squad,not in squad,With the 2nd team,With the 2nd team,not in squad,not in squad,not in squad,not in squad,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,With the 2nd team,not in squad,,,not in squad,,not in squad,not in squad,
Riyad Mahrez,,,,,,,,,,,,,,,,,,,,,,,,,not in squad,not in squad,,,,,,,,,,,,
Dusan Tadic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nacer Chadli,,,,not in squad,not in squad,With the U21s,,,,,, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre,, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Knock, Knock, Knock,,
Conor Masterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolando Aarons,,,,With the 2nd team,not in squad,With the 2nd team,not in squad,not in squad,With the 2nd team,not in squad,With the 2nd team,,,,,not in squad,,,,,not in squad,not in squad,not in squad,not in squad,not in squad,,,,,,,,,,,,,
Yannick Bolasie, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture,With the U21s,not in squad,,,,,,,,,,,,,,,,,,,,
Michael Keane,,,,,, Cut,,,,not in squad,,,,not in squad,,,,,,,,,not in squad,,,,,,,,,,,,,,,
Jonathan Leko,,,not in squad,,,,,,,,,,,,,,,,,,,With the pros,not in squad,not in squad,With the U21s,With the U21s,not in squad,not in squad,With the U21s,With the U21s,not in squad,With the U21s,,With the U21s,With the U21s,not in squad,not in squad,not in squad
Fousseni Diabaté,,,,,,,,,,,,,,,,,,,,,,,not in squad,,,,,,,,,,,,,,,
James Tarkowski,,,,,,,,,,,,,,,,,,,Suspension through sports court,Suspension through sports court,Suspension through sports court,,,, Groin Strain, Groin Strain, Groin Strain,not in squad,,,,,,,,,,
Jack Simpson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not in squad,not in squad,,,,,not in squad,not in squad,not in squad
Lazar Markovic,not in squad,not in squad,not in squad,not in squad,not in squad,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,,,,,,,,,,,
Tom Davies,,,,,,,,,,,,,not in squad,,,,,,,,,,not in squad,not in squad,,,,,,,,,,,,,,
Christian Eriksen,,,,,,,,,,,,,,,,,,,,,,,,not in squad,,,,,,,,,,,,,,
Tom Cleverley,,,,,,,,,,,,,,,,,, Indirect card suspension,,,,,,not in squad,, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury
N'Golo Kanté,,,,,,,, Hamstring Injury, Hamstring Injury, Hamstring Injury,,,,,,,,,,,,,,,,,,, Circulation Problems,,,,,,,,,
Raheem Sterling,,,, Indirect card suspension,,,,,,,,,,,,,,,,,,,,,,,, Hamstring Injury, Hamstring Injury,,not in squad,,,,,,,
Marko Arnautovic,,, Red card suspension, Red card suspension,,, Ill,,,,,,,,,,,,,, Ill,,,, Muscle Injury, Muscle Injury,,,,,,,,,,,,
Marc Pugh,,,not in squad,,,,,,,,,,,,,not in squad,not in squad,,,,,,,not in squad,,,not in squad,,not in squad,not in squad,,,,,,,,
Álvaro Morata,,,,,,,, Hamstring Injury,,,,,,,,,not in squad,,not in squad,,,,, Indirect card suspension, Back Injury, Back Injury,,,,,,,,,,,not in squad,
David Ospina,,,,,,,,, groin strain, groin strain, groin strain,,,,,,,,,,,,,,,,,,,,,,not in squad,,,,,
Andrew Robertson,not in squad,,not in squad,not in squad,,not in squad,not in squad,not in squad,not in squad,,not in squad,not in squad,,not in squad,,,,,,,,,,,,,,,,,,,not in squad,,,,,
Danny Welbeck,,,,,, Hip Injury, Hip Injury,, Groin Strain, Groin Strain, Groin Strain,,,,,,,,,,,,,not in squad,not in squad,not in squad,,,,,,,,,,,,
Paulo Gazzaniga,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad
Will Hughes,not in squad,,not in squad,not in squad,not in squad,not in squad,,not in squad,not in squad,,,,,, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury,,,,,,,,,,
Ruben Loftus-Cheek,,, groin strain, groin strain,,, Thigh Muscle Strain, Thigh Muscle Strain,,,,,,,,,,,,, Injury to the ankle, Injury to the ankle, Injury to the ankle, Injury to the ankle, Injury to the ankle, Injury to the ankle, Injury to the ankle, Injury to the ankle, Injury to the ankle, Injury to the ankle,,,,,,,,
Lys Mousset,,,,,,,,,,,,,,not in squad,not in squad,not in squad,not in squad,not in squad,,,,,,,,,,,,,,not in squad,,,,,,
Liam Rosenior,,,,,,,not in squad,not in squad,not in squad,not in squad,With the U21s,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,With the U21s,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad
Grady Diangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
