0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Kyle Naughton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Suspension through sports court,Suspension through sports court,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0
Kyle Walker-Peters,0,0,0,0,not in squad,0,0,0,not in squad,not in squad,not in squad,0,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,0,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0
Emerson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,With the pros,0,0,0,0,0,0,0,0,0,not in squad,0,0,0
Karl Darlow,0,0,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sead Haksabanovic,With the U21s,not in squad,not in squad,With the U21s,not in squad,not in squad,not in squad,not in squad,With the U21s,With the U21s,0,With the U21s,With the U21s,With the U21s,With the U21s,not in squad,not in squad,0,not in squad,not in squad,0,0,not in squad,not in squad,0,0,With the U21s,not in squad,not in squad,With the U21s,not in squad,not in squad,With the U21s,With the U21s,With the U21s,not in squad,not in squad,not in squad
Andreas Christensen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0, Hamstring Injury,0,0,0,0,0,0,0,0,0,0,0,0
Shinji Okazaki,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,not in squad,not in squad,0, Ankle Injury,0,0,0, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury
Nathan Redmond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,not in squad,0,0,0,0,0,0,0,0,not in squad,0,0,0,0
Josh Pask,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michail Antonio,With the U21s,0,0,0,0,0,0,0,0,0, Bruised Rib, Bruised Rib, Bruised Rib,0,0,0,0,0,0, Calf Problems, Calf Problems, Calf Problems, Calf Problems, Calf Problems, Calf Problems,0,0,0,0,0, Hamstring Injury,0, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury
Joshua Da Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenji Gorré,With the U21s,With the U21s,With the U21s,With the U21s,not in squad,With the U21s,not in squad,With the U21s,With the U21s,With the U21s,not in squad,With the U21s,With the U21s,With the U21s,With the U21s,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,With the U21s,not in squad,With the U21s,With the U21s,not in squad,not in squad,not in squad,With the U21s,not in squad,not in squad,not in squad,With the U21s,not in squad,not in squad,not in squad,not in squad
Matteo Darmian,0,not in squad,0,0,0,not in squad,0,0,0,0,0,not in squad,not in squad,0,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,not in squad,not in squad,not in squad,not in squad,0,not in squad,0,0
Wes Morgan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Hamstring contusion, Hamstring contusion, Hamstring contusion, Hamstring contusion, Hamstring contusion,0,0,0,0,0,0,0,0,0,0,0
Marco van Ginkel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darren Fletcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,not in squad,0,0,0,not in squad,0,0,0,0,0,0
Angus Gunn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashley Barnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Shoulder Injury
Eliaquim Mangala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury
Jack Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elias Kachunga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Ligament Injury, Ligament Injury, Ligament Injury, Ligament Injury, Ligament Injury, Ligament Injury, Ligament Injury, Ligament Injury, Ligament Injury, Ligament Injury, Ligament Injury,not in squad,0,0, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury
Alberto Moreno,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,not in squad, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury,not in squad,0,0,0,0,not in squad,0,0,0,0,0,0,0,0
Jérémy Pied,not in squad,not in squad,not in squad,not in squad,With the U21s,0,not in squad,not in squad,not in squad,not in squad,not in squad,With the U21s,not in squad,not in squad,0,0,not in squad,not in squad,not in squad,0,0,0,0,0,0,not in squad,not in squad,0,not in squad,not in squad,not in squad,not in squad,0,not in squad,0,not in squad,not in squad,0
Sadio Mané,0,0,0,0, Red card suspension, Red card suspension,0, Hamstring Injury, Hamstring Injury, Hamstring Injury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0
Cameron Carter-Vickers,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthur Masuaku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Red card suspension, Red card suspension, Red card suspension, Red card suspension, Red card suspension, Red card suspension,0,0,0,0,0,0,0,0
Eldin Jakupovic,not in squad,not in squad,With the 2nd team,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,With the 2nd team,not in squad,With the 2nd team,With the 2nd team,not in squad,not in squad,With the 2nd team,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,not in squad,0,0,0,0,With the 2nd team,0,0,0,0
Kane Wilson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ainsley Maitland-Niles,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,0,0,0,not in squad,not in squad,not in squad,not in squad,0,0,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,not in squad,0,0,0,0,0
Michael Collins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massadio Haidara,not in squad,not in squad,not in squad, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury,not in squad,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,not in squad,not in squad,0,0,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,not in squad,not in squad,not in squad,not in squad,not in squad,0,0
Jamie Murphy,0,0,0,0,0,0,not in squad,not in squad,not in squad,not in squad,With the U21s,not in squad,not in squad,not in squad,not in squad,With the U21s,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Sweeney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Lacazette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Knee Injury, Knee Injury, Knee Injury,not in squad,0,0,0,0,not in squad,0,0
Jon Gorenc-Stankovic, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,0
Ragnar Klavan,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,not in squad,0,0,0,0,0,0
Christian Benteke,0,0,0,0,0,0, Medial Collateral Ligament Injury, Medial Collateral Ligament Injury, Medial Collateral Ligament Injury, Medial Collateral Ligament Injury, Medial Collateral Ligament Injury,0,0,0,0,0,0,0, Yellow card suspension,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0
Jonjo Shelvey,0, Red card suspension, Red card suspension,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Indirect card suspension, Indirect card suspension,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0
Christian Walton,0,0,0, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery,With the U21s,With the U21s,With the U21s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
André Ayew,0,0,0,0,0,0,0,0,0,0,0, Ill,0,0,0,0,0,0,0,0,0,0,0, Hamstring Injury, Hamstring Injury, Hamstring Injury,0,0,0,0,0,0,0,0,0,0,0,0
Claudio Yacob,0,not in squad,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad
Ander Herrera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,not in squad, Thigh Problems, Thigh Problems, Thigh Problems,0,0,0,0,0,0,0,0
Declan Rice,0,0,0,0,0,0,0,With the U21s,With the U21s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ales Mateju,not in squad,not in squad,not in squad,With the U21s,not in squad,With the U21s,not in squad,With the U21s,With the U21s,With the U21s,With the U21s,not in squad,With the U21s,With the U21s,not in squad,With the U21s,not in squad,With the U21s,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,With the U21s,not in squad,not in squad,not in squad,With the U21s,With the U21s,With the U21s,not in squad,not in squad,With the U21s,With the U21s,With the U21s,not in squad,With the U21s
Michael Carrick,not in squad,not in squad,not in squad,0,0,0, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition,not in squad,0,0,0,0,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0
Freddie Woodman,not in squad,not in squad,0,0,0,With the 2nd team,not in squad,With the 2nd team,With the 2nd team,With the 2nd team,not in squad,With the 2nd team,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor Moses,not in squad,0,0,0,0,0,0,0, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil Jones,0,0,0,0,0,0,0,0,0,0,0, Hamstring Injury, Hamstring Injury, Hamstring Injury,not in squad,0,0,0,0,0,0,0,0,0,0,not in squad,0, Hamstring Injury, Hamstring Injury, Hamstring Injury,0, Hamstring Injury, Hamstring Injury,0,0,not in squad,not in squad,0
Ben Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leroy Fer,0,0,0,0,0,0,0,0, Yellow card suspension,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0, Achilles tendon surgery, Achilles tendon surgery, Achilles tendon surgery, Achilles tendon surgery, Achilles tendon surgery, Achilles tendon surgery, Achilles tendon surgery, Achilles tendon surgery, Achilles tendon surgery, Achilles tendon surgery, Achilles tendon surgery, Achilles tendon surgery
Tim Krul,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saido Berahino,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,not in squad,not in squad,0,0,0,not in squad,With the 2nd team,not in squad,0,0,not in squad,With the 2nd team,With the 2nd team,not in squad,not in squad,not in squad
Badou Ndiaye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommie Hoban, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery, Cruciate Ligament Surgery
Max Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boaz Myhill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angel Gomes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santi Cazorla, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery
Raheem Sterling,0,0,0, Indirect card suspension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Hamstring Injury, Hamstring Injury,0,not in squad,0,0,0,0,0,0,0
Jonjoe Kenny,With the U21s,With the U21s,0,With the U21s,not in squad,0,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,0
Kelechi Iheanacho,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,not in squad,0,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mason Holgate,0,0,0,0,0,0,0,0,not in squad,0,0,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,not in squad,0,0,0,0, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury,0
Matty James,0,0,0,0, Achilles tendon problems, Achilles tendon problems, Achilles tendon problems, Achilles tendon problems, Achilles tendon problems, Achilles tendon problems, Achilles tendon problems, Achilles tendon problems, Achilles tendon problems, Achilles tendon problems, Achilles tendon problems, Achilles tendon problems, Achilles tendon problems, Achilles tendon problems, Achilles tendon problems,0,0,0,0,0,0,0,0,0,0,0, Achilles tendon problems, Achilles tendon problems, Achilles tendon problems, Achilles tendon problems, Achilles tendon problems, Achilles tendon problems, Achilles tendon problems, Achilles tendon problems
Phil Bardsley,not in squad,not in squad,0,0,0,0,0,not in squad,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0
Eric Dier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0
Jordan Hugill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad
Danny Ward,not in squad,not in squad,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad, Back Injury, Back Injury, Back Injury, Back Injury, Back Injury, Back Injury, Back Injury, Back Injury, Back Injury, Back Injury, Back Injury, Back Injury, Back Injury,not in squad,not in squad,With the 2nd team,not in squad,not in squad,not in squad,not in squad,With the 2nd team,not in squad,not in squad,not in squad,With the 2nd team,not in squad,not in squad,not in squad,not in squad
Joe Allen,0,0,0,0,0,0,0, Concussion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renato Sanches,0,0,0,0,0,0,0, Thigh Problems,0, Thigh Problems, Thigh Problems,0,0,0,0,not in squad,not in squad,0,0,0,0,0, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury,0, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury,0,0,not in squad
Sam Field,0,0,0,With the U21s,With the U21s,not in squad,not in squad,not in squad,not in squad,With the U21s,not in squad,not in squad,0,0,0,0,0,0,not in squad,not in squad,not in squad,0,not in squad,0,0,0,not in squad,not in squad,0,0,0,not in squad,With the U21s,0,0,not in squad,not in squad,0
Aaron Connolly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Knockaert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0, Red card suspension,not in squad,0,0,0,0,0
