,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,injuries,injured games
0,Kyle Naughton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Suspension through sports court,Suspension through sports court,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,"['not in squad', 'not in squad']",0
1,Kyle Walker-Peters,0,0,0,0,not in squad,0,0,0,not in squad,not in squad,not in squad,0,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,0,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']",0
2,Emerson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,With the pros,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,"['\xa0Red card suspension', '\xa0Red card suspension', '\xa0Disrupted Calf Muscle', 'not in squad', '\xa0Disrupted Calf Muscle', '\xa0Tendonitis', '\xa0Tendonitis']",0
3,Karl Darlow,0,0,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['not in squad', 'not in squad']",0
4,Sead Haksabanovic,With the U21s,not in squad,not in squad,With the U21s,not in squad,not in squad,not in squad,not in squad,With the U21s,With the U21s,0,With the U21s,With the U21s,With the U21s,With the U21s,not in squad,not in squad,0,not in squad,not in squad,0,0,not in squad,not in squad,0,0,With the U21s,not in squad,not in squad,With the U21s,not in squad,not in squad,With the U21s,With the U21s,With the U21s,not in squad,not in squad,not in squad,[],0
5,Andreas Christensen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0, Hamstring Injury,0,0,0,0,0,0,0,0,0,0,0,0,"['\xa0Strain in the thigh and gluteal muscles', '\xa0Strain in the thigh and gluteal muscles', '\xa0Strain in the thigh and gluteal muscles', '\xa0Strain in the thigh and gluteal muscles', '\xa0Strain in the thigh and gluteal muscles', '\xa0Back trouble', '\xa0Strain in the thigh and gluteal muscles']",1
6,Shinji Okazaki,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,not in squad,not in squad,0, Ankle Injury,0,0,0, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury,"['not in squad', 'not in squad', 'not in squad']",0
7,Nathan Redmond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,not in squad,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,"['not in squad', '\xa0Red card suspension', 'not in squad']",0
8,Josh Pask,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']",0
9,Michail Antonio,With the U21s,0,0,0,0,0,0,0,0,0, Bruised Rib, Bruised Rib, Bruised Rib,0,0,0,0,0,0, Calf Problems, Calf Problems, Calf Problems, Calf Problems, Calf Problems, Calf Problems,0,0,0,0,0, Hamstring Injury,0, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury,"['\xa0Groin Strain', '\xa0Indirect card suspension', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury']",8
