0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Wesley Sneijder,0,not in squad,0,0,not in squad,not in squad,0,not in squad,not in squad,0,0,not in squad,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matheus Pereira,0,0,0,0,not in squad,not in squad,not in squad,not in squad,0,0,not in squad,0,not in squad,not in squad,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louis Nganioni,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad
Jonathan Cafú,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,not in squad,not in squad
Mamadou Sissako,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seydou Sy,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0
Hatem Ben Arfa,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad, groin strain, groin strain, groin strain, groin strain, groin strain, groin strain, groin strain, groin strain, groin strain, groin strain, groin strain, groin strain, groin strain, groin strain, groin strain,not in squad,not in squad,not in squad
Mathieu Debuchy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georges Mandjeck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,not in squad,not in squad,0,0,0,0,0,0,0,0,0
Théo Pellenard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,not in squad,0,0,0,0,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,not in squad,0,not in squad,not in squad
