0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Maximilian Eggestein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ridle Baku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Hunt,0,0, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre,0,0,0,0,0,0,0,0,0,0,0, Ankle Injury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson Mandela Mbouhom,With U19,With U19,With U19,With U19,not in squad,With U19,With U19,With U19, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture
Marius Wolf, Fitness, Fitness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Bruise,0,0,0
Renat Dadashov,With U19,With U19, Red card suspension, Red card suspension, Red card suspension, Red card suspension,not in squad,With U19,not in squad,With U19,With U19,With U19,With U19,With U19,not in squad,not in squad,not in squad,special leave,special leave,special leave,special leave,special leave,With U19,With U19,not in squad,With U19,not in squad,special leave,special leave,special leave,special leave,special leave,special leave,special leave
Tobias Strobl, Torn Meniscus, Torn Meniscus, Torn Meniscus, Torn Meniscus, Torn Meniscus, Torn Meniscus, Torn Meniscus, Torn Meniscus, Torn Meniscus, Torn Meniscus, Torn Meniscus, Torn Meniscus, Torn Meniscus, Torn Meniscus, Torn Meniscus, Torn Meniscus, Torn Meniscus, Torn Meniscus, Torn Meniscus, Torn Meniscus, Torn Meniscus, Torn Meniscus, Torn Meniscus, Torn Meniscus, Torn Meniscus, Fitness,not in squad,not in squad,not in squad,0,0,0,0,0
Florian Kainz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Yellow card suspension,0,0
Chima Okoroji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Efkan Bekiroglu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
