0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Rolando Aarons,,,,With the 2nd team,not in squad,With the 2nd team,not in squad,not in squad,With the 2nd team,not in squad,With the 2nd team,,,,,not in squad,,,,,not in squad,not in squad,not in squad,not in squad,not in squad,,,,,,,,,,,,,
Tammy Abraham,,,,,,,,,,,,,,not in squad,,,,,,,,not in squad,not in squad,not in squad,,,,,,,,,,,,not in squad,,
Charlie Adam,,not in squad,,,,,,,,,,,,,,,,,,,,,,,,,,,not in squad,,, Red card suspension, Red card suspension, Red card suspension,not in squad,,,
Tosin Adarabioyo,not in squad,not in squad,not in squad,not in squad,not in squad,With the 2nd team,not in squad,With the 2nd team,With the 2nd team,With the 2nd team,not in squad,With the 2nd team,With the 2nd team,not in squad,not in squad,With the 2nd team,With the 2nd team,not in squad,not in squad,,,not in squad,not in squad,,,,not in squad,not in squad,not in squad,With the 2nd team,,,With the 2nd team,not in squad,not in squad,With the 2nd team,not in squad,not in squad
Ibrahim Afellay, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery,,,,,,,,,,,,,not in squad,,,,not in squad,,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
Benik Afobe,,,,not in squad,,,,,,, Strain,,,,,,,,,,,,,not in squad,not in squad,,,,,,,,,,,,,
Sergio Agüero,,,,,,, Fractured Rib,,,,,,,,,,,,,,,,,,,,,,, Knee Injury, Knee Injury, Knee Injury,, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury
Soufyan Ahannach,not in squad,not in squad,not in squad,With the U21s,With the U21s,With the U21s,With the U21s,With the U21s,With the U21s,With the U21s,With the U21s,With the U21s,With the U21s,With the U21s,not in squad,With the U21s,not in squad,With the U21s,not in squad,not in squad,not in squad,not in squad,not in squad,,,,,,,,,,,,,,,
Ola Aina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuba Akpom,not in squad,not in squad,With the 2nd team,With the 2nd team,With the 2nd team,not in squad,not in squad,With the 2nd team,not in squad,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,With the 2nd team,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,,,,,,,,,,,
